x1,y1,x2,y2
7,7623,26,7623
599,1622,599,1893
85,7999,85,7933
498,1893,498,2480
26,2480,85,2480
26,7623,85,7623
435,7933,498,7933
435,2480,498,2480
435,2480,435,5066
85,2480,435,2480
85,7623,387,7623
85,7623,85,7933
435,7933,435,7623
387,5066,435,5066
387,7623,435,7623
435,7623,435,5320
435,5320,435,5066
498,1893,599,1893
1154,6990,1204,6990
630,9375,630,8175
599,1893,616,1893
616,1893,630,1893
616,5304,630,5304
873,6990,1154,6990
873,1893,1154,1893
630,1893,630,5304
630,1893,873,1893
630,5304,630,5937
630,5937,870,5937
630,8175,870,8175
870,5937,870,6990
870,6990,873,6990
870,8175,873,8175
873,8175,873,6990
1204,6990,1260,6990
1621,3361,1697,3361
1302,7562,1302,6990
1524,140,1524,299
1260,299,1302,299
1260,6990,1302,6990
1302,6990,1302,4627
1302,299,1524,299
1302,4627,1524,4627
1524,299,1524,3361
1524,3361,1603,3361
1524,4627,1603,4627
1603,4627,1603,3439
1603,3361,1621,3361
1603,3439,1621,3439
1621,3439,1621,3361
1697,3361,1708,3361
2586,7937,2607,7937
2117,8208,2117,7937
2586,462,2586,3361
1708,3361,1857,3361
1708,4831,1857,4831
2447,7937,2586,7937
2447,3361,2586,3361
1857,3361,1857,4033
1857,3361,2447,3361
1857,4033,1857,4831
1857,4831,2117,4831
2117,4831,2117,4891
2117,4891,2447,4891
2117,7937,2447,7937
2447,7937,2447,4891
2882,6729,2961,6729
2699,9474,2699,7937
2882,443,2882,4376
2650,4376,2681,4376
2824,6729,2882,6729
2824,4376,2882,4376
2824,4376,2824,5285
2681,4376,2824,4376
2824,5285,2824,6729
2699,6729,2824,6729
2699,6729,2699,7326
2681,7326,2699,7326
2681,7937,2699,7937
2699,7937,2699,7326
2607,7937,2681,7937
3145,7246,3236,7246
3145,7246,3145,6756
3087,1676,3087,3541
2961,6729,3005,6729
2961,6729,2961,6756
3145,6756,3145,6729
3005,5331,3074,5331
3005,6729,3074,6729
3087,6729,3145,6729
3087,3541,3145,3541
3087,3541,3087,5109
3074,6729,3087,6729
3074,5109,3087,5109
3074,6729,3074,5331
3074,5331,3074,5109
3236,7246,3298,7246
3687,1927,3687,1933
3562,9391,3562,9041
3681,1933,3681,7246
3298,7246,3324,7246
3298,7246,3298,7247
3324,7246,3562,7246
3324,7929,3562,7929
3580,8344,3681,8344
3580,7246,3681,7246
3562,7246,3562,7929
3562,7246,3580,7246
3562,7929,3562,8344
3562,8344,3580,8344
3562,9041,3580,9041
3580,9041,3580,8344
3681,1933,3687,1933
4389,9934,4389,8021
3687,1933,3761,1933
3761,1933,4070,1933
3761,3659,4070,3659
4388,8021,4389,8021
4070,1933,4070,3659
4070,1933,4388,1933
4070,3659,4070,4980
4070,4980,4337,4980
4070,6617,4337,6617
4337,8021,4388,8021
4337,4980,4388,4980
4337,8021,4337,6617
4337,6617,4337,4980
4388,1933,4466,1933
4466,1933,5126,1933
5821,9844,5821,8152
5619,8152,5619,7921
5126,1933,5126,3176
5126,3176,5288,3176
5288,3176,5288,3390
5288,3390,5451,3390
5288,3743,5451,3743
5494,7921,5619,7921
5494,3390,5619,3390
5451,3390,5451,3743
5451,3390,5494,3390
5451,3743,5451,5729
5451,5729,5494,5729
5451,7921,5494,7921
5494,7921,5494,5729
5619,8152,5821,8152
6503,3173,6707,3173
5821,8152,5882,8152
6480,2283,6480,3173
5882,6716,5904,6716
5882,8152,5904,8152
6480,4485,6503,4485
6480,3173,6503,3173
6480,3173,6480,4485
6378,4485,6480,4485
6378,4485,6378,6716
5904,8152,6378,8152
5904,6716,6378,6716
5904,8152,5904,7487
5904,7487,5904,6716
7326,3216,7336,3216
6728,8290,6728,4445
7015,359,7015,1605
6728,4445,6983,4445
7206,3216,7326,3216
7206,1605,7326,1605
7206,1605,7206,3173
7015,1605,7206,1605
7206,3173,7206,3216
6983,3173,7206,3173
7206,3216,7206,4442
6983,4442,7206,4442
6983,4442,6983,4445
7206,4445,7206,4442
6707,3173,6983,3173
7882,2798,7916,2798
7428,8955,7428,4147
7648,760,7648,2798
7428,4147,7648,4147
7813,3036,7882,3036
7813,2798,7882,2798
7813,2798,7813,3036
7648,2798,7813,2798
7813,3036,7813,3067
7701,3067,7813,3067
7701,3067,7701,3216
7648,3216,7701,3216
7648,4147,7701,4147
7701,4147,7701,3216
7336,3216,7648,3216
8178,7226,8212,7226
8178,7226,8178,6716
8145,198,8145,558
7994,6716,8056,6716
8145,6716,8178,6716
8145,2453,8178,2453
8145,558,8145,926
8056,558,8145,558
8056,2798,8139,2798
8056,6716,8139,6716
8139,926,8139,2453
8139,926,8145,926
8139,6716,8145,6716
8139,2453,8145,2453
8139,6716,8139,2798
8139,2798,8139,2453
7916,2798,8056,2798
8378,9864,8378,9374
8369,9374,8369,7669
8293,901,8293,1718
8236,7669,8255,7669
8348,7669,8369,7669
8348,5572,8369,5572
8293,1718,8293,2880
8255,1718,8293,1718
8255,7226,8293,7226
8255,7669,8293,7669
8293,2880,8293,5572
8293,2880,8348,2880
8293,7669,8348,7669
8293,5572,8348,5572
8293,7669,8293,7226
8293,7226,8293,5572
8212,7226,8255,7226
8369,9374,8378,9374
8541,1031,8645,1031
8378,9374,8487,9374
8541,1031,8541,4938
8487,4938,8490,4938
8487,9374,8490,9374
8529,9374,8541,9374
8529,4938,8541,4938
8490,4938,8490,5450
8490,4938,8529,4938
8490,5450,8490,6687
8490,6687,8528,6687
8490,9374,8528,9374
8528,6687,8528,6930
8528,6930,8529,6930
8528,9374,8529,9374
8529,9374,8529,6930
8645,1031,8980,1031
9322,7311,9446,7311
9322,9865,9322,7311
9253,7311,9322,7311
9253,7311,9253,6269
9231,6269,9253,6269
9231,6269,9231,5676
9231,308,9231,1031
8980,1031,9161,1031
8980,5676,9161,5676
9161,5676,9231,5676
9161,1031,9231,1031
9161,5676,9161,3908
9161,3908,9161,1031
9446,7311,9458,7311
9528,6152,9696,6152
9528,7524,9528,7311
9458,1771,9458,6152
9458,6152,9528,6152
9458,7311,9528,7311
9528,7311,9528,6152
